 (n,m)=          10           0
 clat=   4.2539167833891627      ncells=           5
         200
 
 C  -6.2859028255824325E-016   3.9088454023369494        16.306681002991791     
 C  -1.2078996577064967        3.7175328910829069        15.597694872426931     
 C  -1.2078996577064967        3.7175328910829069        14.179722611297210     
 C  -2.2975616809848969        3.1623223588749712        13.470736480732349     
 C  -2.2975616809848969        3.1623223588749712        16.306681002991791     
 C  -3.1623223588749720        2.2975616809848960        15.597694872426931     
 C  -3.1623223588749707        2.2975616809848978        14.179722611297210     
 C  -3.7175328910829069        1.2078996577064964        13.470736480732349     
 C  -3.7175328910829069        1.2078996577064964        16.306681002991791     
 C  -3.9088454023369494       -1.2571805651164867E-015   15.597694872426931     
 C  -3.9088454023369494        4.7869550103337928E-016   14.179722611297210     
 C  -3.7175328910829073       -1.2078996577064958        13.470736480732349     
 C  -3.7175328910829073       -1.2078996577064958        16.306681002991791     
 C  -3.1623223588749703       -2.2975616809848982        15.597694872426931     
 C  -3.1623223588749716       -2.2975616809848969        14.179722611297210     
 C  -2.2975616809848978       -3.1623223588749707        13.470736480732349     
 C  -2.2975616809848978       -3.1623223588749707        16.306681002991791     
 C  -1.2078996577064967       -3.7175328910829069        15.597694872426931     
 C  -1.2078996577064967       -3.7175328910829069        14.179722611297210     
 C   2.7537088807496629E-015  -3.9088454023369494        13.470736480732349     
 C   2.7537088807496629E-015  -3.9088454023369494        16.306681002991791     
 C   1.2078996577064955       -3.7175328910829073        15.597694872426931     
 C   1.2078996577064955       -3.7175328910829073        14.179722611297210     
 C   2.2975616809848995       -3.1623223588749694        13.470736480732349     
 C   2.2975616809848995       -3.1623223588749694        16.306681002991791     
 C   3.1623223588749707       -2.2975616809848982        15.597694872426931     
 C   3.1623223588749707       -2.2975616809848982        14.179722611297210     
 C   3.7175328910829069       -1.2078996577064969        13.470736480732349     
 C   3.7175328910829069       -1.2078996577064969        16.306681002991791     
 C   3.9088454023369494       -9.5739100206675856E-016   15.597694872426931     
 C   3.9088454023369494       -9.5739100206675856E-016   14.179722611297210     
