  (n,m) =            9           0
  clat =    4.2539167833891627     
         216
 
 C  -2.6949143695242488       -2.2613016535221466        9.2168196973431851     
 C  -2.6949143695242488       -2.2613016535221466        12.052764219602627     
 C  -1.7589804310516259       -3.0466434761008236        11.343778089037766     
 C  -1.7589804310516288       -3.0466434761008219        9.9258058279080466     
 C -0.61088749280781640       -3.4645151317927958        9.2168196973431851     
 C -0.61088749280781329       -3.4645151317927962        12.052764219602627     
 C  0.61088749280781207       -3.4645151317927967        11.343778089037766     
 C  0.61088749280781207       -3.4645151317927967        9.9258058279080466     
 C   1.7589804310516277       -3.0466434761008228        9.2168196973431851     
 C   1.7589804310516277       -3.0466434761008228        12.052764219602627     
 C   2.6949143695242466       -2.2613016535221493        11.343778089037766     
 C   2.6949143695242466       -2.2613016535221493        9.9258058279080466     
 C   3.3058018623320611       -1.2032134782706478        9.2168196973431851     
 C   3.3058018623320611       -1.2032134782706478        12.052764219602627     
 C   3.5179608621032545       -8.6165190186008280E-016   11.343778089037766     
 C   3.5179608621032545       -8.6165190186008280E-016   9.9258058279080466     
 C   3.3058018623320606        1.2032134782706490        9.2168196973431851     
 C   3.3058018623320606        1.2032134782706483        16.306681002991791     
 C   2.6949143695242475        2.2613016535221484        15.597694872426931     
 C   2.6949143695242475        2.2613016535221480        14.179722611297210     
 C   1.7589804310516268        3.0466434761008232        13.470736480732349     
 C   1.7589804310516268        3.0466434761008232        16.306681002991791     
 C  0.61088749280781296        3.4645151317927967        15.597694872426931     
 C  0.61088749280781363        3.4645151317927962        14.179722611297210     
 C -0.61088749280781407        3.4645151317927962        13.470736480732349     
 C -0.61088749280781407        3.4645151317927962        16.306681002991791     
 C  -1.7589804310516282        3.0466434761008223        15.597694872426931     
 C  -1.7589804310516282        3.0466434761008223        14.179722611297210     
 C  -2.6949143695242470        2.2613016535221488        13.470736480732349     
 C  -2.6949143695242470        2.2613016535221488        16.306681002991791     
 C  -3.3058018623320611        1.2032134782706474        15.597694872426931     
 C  -3.3058018623320606        1.2032134782706487        14.179722611297210     
 C  -3.5179608621032545        4.3082595093004140E-016   13.470736480732349     
 C  -3.5179608621032545        4.3082595093004140E-016   16.306681002991791     
 C  -3.3058018623320606       -1.2032134782706494        15.597694872426931     
 C  -3.3058018623320611       -1.2032134782706481        14.179722611297210     
 C  -2.6949143695242488       -2.2613016535221466        13.470736480732349     
 C  -2.6949143695242488       -2.2613016535221466        16.306681002991791     
 C  -1.7589804310516259       -3.0466434761008236        15.597694872426931     
 C  -1.7589804310516288       -3.0466434761008219        14.179722611297210     
 C -0.61088749280781640       -3.4645151317927958        13.470736480732349     
 C -0.61088749280781329       -3.4645151317927962        16.306681002991791     
 C  0.61088749280781207       -3.4645151317927967        15.597694872426931     
