 (n,m)=          15           0
 clat=   4.2539167833891627      ncells=           5
         300
 
 C   1.8118494865597430       -5.5762993366243601        11.343778089037766     
 C   1.8118494865597430       -5.5762993366243601        9.9258058279080466     
 C   2.9316340517527122       -5.0777391268347039        9.2168196973431851     
 C   2.9316340517527171       -5.0777391268347012        12.052764219602627     
 C   3.9232921413431381       -4.3572573515067088        11.343778089037766     
 C   3.9232921413431381       -4.3572573515067088        9.9258058279080466     
 C   4.7434835383124581       -3.4463425214773427        9.2168196973431851     
 C   4.7434835383124581       -3.4463425214773427        12.052764219602627     
 C   5.3563619428981291       -2.3848059858732040        11.343778089037766     
 C   5.3563619428981291       -2.3848059858732040        9.9258058279080466     
 C   5.7351416279028822       -1.2190419851176426        9.2168196973431851     
 C   5.7351416279028822       -1.2190419851176426        12.052764219602627     
 C   5.8632681035054235        8.9791698937990559E-015   11.343778089037766     
 C   5.8632681035054235        8.9791698937990559E-015   9.9258058279080466     
 C   5.7351416279028804        1.2190419851176499        9.2168196973431851     
 C   5.7351416279028804        1.2190419851176502        16.306681002991791     
 C   5.3563619428981264        2.3848059858732102        15.597694872426931     
 C   5.3563619428981264        2.3848059858732094        14.179722611297210     
 C   4.7434835383124554        3.4463425214773467        13.470736480732349     
 C   4.7434835383124554        3.4463425214773467        16.306681002991791     
 C   3.9232921413431354        4.3572573515067115        15.597694872426931     
 C   3.9232921413431368        4.3572573515067106        14.179722611297210     
 C   2.9316340517527100        5.0777391268347056        13.470736480732349     
 C   2.9316340517527100        5.0777391268347056        16.306681002991791     
 C   1.8118494865597432        5.5762993366243601        15.597694872426931     
 C   1.8118494865597432        5.5762993366243601        14.179722611297210     
 C  0.61287840458566956        5.8311485073505560        13.470736480732349     
 C  0.61287840458566956        5.8311485073505560        16.306681002991791     
 C -0.61287840458567400        5.8311485073505551        15.597694872426931     
 C -0.61287840458567133        5.8311485073505551        14.179722611297210     
 C  -1.8118494865597450        5.5762993366243601        13.470736480732349     
 C  -1.8118494865597450        5.5762993366243601        16.306681002991791     
 C  -2.9316340517527149        5.0777391268347021        15.597694872426931     
 C  -2.9316340517527131        5.0777391268347030        14.179722611297210     
 C  -3.9232921413431368        4.3572573515067106        13.470736480732349     
 C  -3.9232921413431368        4.3572573515067106        16.306681002991791     
 C  -4.7434835383124572        3.4463425214773440        15.597694872426931     
 C  -4.7434835383124554        3.4463425214773467        14.179722611297210     
 C  -5.3563619428981273        2.3848059858732085        13.470736480732349     
 C  -5.3563619428981273        2.3848059858732085        16.306681002991791     
 C  -5.7351416279028813        1.2190419851176471        15.597694872426931     
 C  -5.7351416279028813        1.2190419851176471        14.179722611297210     
 C  -5.8632681035054235       -4.4895849468995279E-015   13.470736480732349     
 C  -5.8632681035054235       -4.4895849468995279E-015   16.306681002991791     
 C  -5.7351416279028804       -1.2190419851176508        15.597694872426931     
 C  -5.7351416279028804       -1.2190419851176508        14.179722611297210     
 C  -5.3563619428981255       -2.3848059858732116        13.470736480732349     
